grant_id,grant_val
477582,2016R1A2B4013130
477586,2014R1A5A2009392
479758,F31 MH113271
479960,EP-C-15-003
480202,53658
480206,53650
480210,102645
480964,P42 ES013661
482038,BB/M009513/1
482704,R01 DK094841
484172,RP-PG-0613-20001
484278,14134
484282,C1418/A14134
484286,C7492/A17219
486862,HS&DR/15/145/04
486866,HS&DR/15/145/06
487202,R01 DA042471
490600,U54 CA143727
490604,U54 CA143728
490826,R01 HL126724
490830,R01 HL144552
490904,105602
491382,R25 GM048972
491386,R25 GM059298
491390,R25 GM050078
491394,SC2 GM095428
491398,SC3 GM118218
491402,T34 GM008574
491888,I01 CX000359
491892,IK6 CX001644
491896,R01 EY025872
491900,R01 MH024600
491978,R01 GM051405
491982,R01 HL121266
492612,CS/16/2/32145
492616,MR/K006584/1
493508,MR/N015908/1
494516,001
495214,U24 EB028980
496070,U01 DK063829
496074,U01 DK063861
496078,U01 DK063821
496082,U01 DK063865
496086,U01 DK063863
496090,U01 DK063836
496094,U01 DK063790
496098,UC4 DK063829
496102,UC4 DK063861
496106,UC4 DK063821
496110,UC4 DK063865
496114,UC4 DK063863
496118,UC4 DK063836
496122,UC4 DK095300
496126,UC4 DK117483
496130,HHSN267200700014C
496134,UC4 DK100238
496138,UC4 DK106955
496142,UC4 DK112243
496206,K08 HS025753
496352,MR/P008577/1
498016,R01 HL134169
499262,T32 MH109436
500318,R01 HL081753
500322,R01 HL107304
500326,R01 HL111437
500330,R01 HL118650
502162,MC_U147585827
502166,CS-2013-13-012
502170,MC_U147585819
502174,MC_UP_A620_1014
502178,MC_UU_12011/1
502182,G0400491
502186,MC_U147585824
502316,21573152
502320,91841301
502520,K01 DK083550
502524,R15 DK118611
502528,R03 DK097436
502532,NIH DK090823
502676,6300123
502778,MOST 107-2112-M-033-001-MY3
502900,2018YFC0807900
502904,2018YFC0807903
502908,61702020
502912,4172013
503028,UNCE/HUM/032
503256,2019YJ0414
503260,sklpme2019-4-35
503746,31501552
503868,P30 ES007033
503872,U01 EB021923
503876,R01ES022722
503880,R33 ES024715
504076,2017QNJH32
504080,61403124
504152,project CAFYBB2017MA019 and project CAFYBB2018GB001.
504230,11472308
504896,MOST-2018-001
505020,10171019
505200,2018R1C1B5046894
505286,2014R1A2A2A01005274
505290,2017R1D1A1B03034199
505704,12CHN_409
505924,jxsq2018106023
505928,cx2016017
505932,20190402181
506202,2016M3A9B694241
506620,K12 HD001271
506624,UL1 RR025780
506990,U10 HD063036
506994,U10 HD063037
506998,UL1 TR001108
507002,UL1 TR001414
507006,U10 HD063053
507010,U10 HD063046
507014,U10 HD063072
507018,U10 HD063048
507022,U10 HD063047
507026,U10 HD063041
